Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2016-04-24,Apple Health,289.0,0.0,203.0,0.0
2016-04-25,Apple Health,6765.0,0.0,4467.0,0.0
2016-04-26,Apple Health,4942.0,0.0,3444.0,0.0
2016-04-27,Apple Health,6524.0,0.0,4624.0,0.0
2016-04-28,Apple Health,7449.0,0.0,5241.0,0.0
2016-04-29,Apple Health,9026.0,0.0,6206.0,0.0
2016-04-30,Apple Health,1961.0,0.0,1330.0,0.0
2016-05-01,Apple Health,73.0,0.0,51.0,0.0
2016-05-02,Apple Health,6590.0,0.0,4906.0,0.0
2016-05-03,Apple Health,7054.0,0.0,4752.0,0.0
2016-05-04,Apple Health,9167.0,0.0,6475.0,0.0
2016-05-05,Apple Health,108.0,0.0,77.0,0.0
2016-05-06,Apple Health,1300.0,0.0,980.0,0.0
2016-05-07,Apple Health,6823.0,0.0,4531.0,0.0
2016-05-08,Apple Health,5274.0,0.0,3851.0,0.0
2016-05-09,Apple Health,10281.0,0.0,7021.0,0.0
2016-05-10,Apple Health,3194.0,0.0,2136.0,0.0
2016-05-11,Apple Health,5733.0,0.0,3960.0,0.0
2016-05-12,Apple Health,4838.0,0.0,3085.0,0.0
2016-05-13,Apple Health,7094.0,0.0,5059.0,0.0
2016-05-14,Apple Health,190.0,0.0,142.0,0.0
2016-05-15,Apple Health,4044.0,0.0,2463.0,0.0
2016-05-16,Apple Health,2034.0,0.0,1330.0,0.0
2016-05-17,Apple Health,2870.0,0.0,1995.0,0.0
2016-05-18,Apple Health,8250.0,0.0,5639.0,0.0
2016-05-19,Apple Health,4697.0,0.0,3184.0,0.0
2016-05-20,Apple Health,4612.0,0.0,3076.0,0.0
2016-05-21,Apple Health,2715.0,0.0,1756.0,0.0
2016-05-22,Apple Health,2141.0,0.0,1466.0,0.0
2016-05-23,Apple Health,3019.0,0.0,2007.0,0.0
2016-05-24,Apple Health,4342.0,0.0,2803.0,0.0
2016-05-25,Apple Health,6812.0,0.0,4459.0,0.0
2016-05-26,Apple Health,6829.0,0.0,4638.0,0.0
2016-05-27,Apple Health,5224.0,0.0,3798.0,0.0
2016-05-28,Apple Health,93.0,0.0,68.0,0.0
2016-05-29,Apple Health,14258.0,0.0,9901.0,0.0
2016-05-30,Apple Health,7669.0,0.0,5681.0,0.0
2016-05-31,Apple Health,4342.0,0.0,2879.0,0.0
2016-06-01,Apple Health,8636.0,0.0,6072.0,0.0
2016-06-02,Apple Health,5336.0,0.0,3595.0,0.0
2016-06-03,Apple Health,3719.0,0.0,2636.0,0.0
2016-06-04,Apple Health,198.0,0.0,141.0,0.0
2016-06-05,Apple Health,220.0,0.0,166.0,0.0
2016-06-06,Apple Health,8325.0,0.0,6104.0,0.0
2016-06-07,Apple Health,5179.0,0.0,3358.0,0.0
2016-06-08,Apple Health,4420.0,0.0,3014.0,0.0
2016-06-09,Apple Health,5949.0,0.0,3892.0,0.0
2016-06-10,Apple Health,7077.0,0.0,4966.0,0.0
2016-06-11,Apple Health,2077.0,0.0,1430.0,0.0
2016-06-12,Apple Health,1254.0,0.0,901.0,0.0
2016-06-13,Apple Health,3939.0,0.0,2599.0,0.0
2016-06-14,Apple Health,3687.0,0.0,2492.0,0.0
2016-06-15,Apple Health,5121.0,0.0,3607.0,0.0
2016-06-16,Apple Health,3565.0,0.0,2429.0,0.0
2016-06-17,Apple Health,6593.0,0.0,4485.0,0.0
2016-06-18,Apple Health,1389.0,0.0,919.0,0.0
2016-06-19,Apple Health,157.0,0.0,158.0,0.0
2016-06-20,Apple Health,4539.0,0.0,3095.0,0.0
2016-06-21,Apple Health,4185.0,0.0,2922.0,0.0
2016-06-22,Apple Health,2214.0,0.0,1553.0,0.0
2016-06-23,Apple Health,4939.0,0.0,3384.0,0.0
2016-06-24,Apple Health,5301.0,0.0,3666.0,0.0
2016-06-25,Apple Health,6116.0,0.0,4275.0,0.0
2016-06-26,Apple Health,246.0,0.0,170.0,0.0
2016-06-27,Apple Health,1186.0,0.0,777.0,0.0
2016-06-28,Apple Health,2574.0,0.0,1795.0,0.0
2016-06-29,Apple Health,10174.0,0.0,7232.0,0.0
2016-06-30,Apple Health,3336.0,0.0,2378.0,0.0
2016-07-01,Apple Health,1436.0,0.0,1032.0,0.0
2016-07-02,Apple Health,1994.0,0.0,1374.0,0.0
2016-07-03,Apple Health,886.0,0.0,623.0,0.0
2016-07-04,Apple Health,4227.0,0.0,2662.0,0.0
2016-07-05,Apple Health,4853.0,0.0,3373.0,0.0
2016-07-06,Apple Health,3774.0,0.0,2622.0,0.0
2016-07-07,Apple Health,3508.0,0.0,2173.0,0.0
2016-07-08,Apple Health,1396.0,0.0,1011.0,0.0
2016-07-09,Apple Health,286.0,0.0,200.0,0.0
2016-07-10,Apple Health,277.0,0.0,203.0,0.0
2016-07-11,Apple Health,4253.0,0.0,2713.0,0.0
2016-07-12,Apple Health,6707.0,0.0,4738.0,0.0
2016-07-13,Apple Health,5321.0,0.0,3784.0,0.0
2016-07-14,Apple Health,4064.0,0.0,2793.0,0.0
2016-07-15,Apple Health,5614.0,0.0,3995.0,0.0
2016-07-16,Apple Health,291.0,0.0,206.0,0.0
2016-07-17,Apple Health,2941.0,0.0,2046.0,0.0
2016-07-18,Apple Health,5774.0,0.0,3805.0,0.0
2016-07-19,Apple Health,9143.0,0.0,6435.0,0.0
2016-07-20,Apple Health,4895.0,0.0,3470.0,0.0
2016-07-21,Apple Health,4504.0,0.0,2966.0,0.0
2016-07-22,Apple Health,4482.0,0.0,2983.0,0.0
2016-07-23,Apple Health,91.0,0.0,65.0,0.0
2016-07-24,Apple Health,118.0,0.0,81.0,0.0
2016-07-25,Apple Health,3733.0,0.0,2473.0,0.0
2016-07-26,Apple Health,6254.0,0.0,4514.0,0.0
2016-07-27,Apple Health,4916.0,0.0,3368.0,0.0
2016-07-28,Apple Health,3922.0,0.0,2482.0,0.0
2016-07-29,Apple Health,4349.0,0.0,3040.0,0.0
2016-07-30,Apple Health,714.0,0.0,502.0,0.0
2016-07-31,Apple Health,5136.0,0.0,3610.0,0.0
2016-08-01,Apple Health,6764.0,0.0,4609.0,0.0
2016-08-02,Apple Health,2404.0,0.0,1644.0,0.0
2016-08-03,Apple Health,6109.0,0.0,4070.0,0.0
